"ID","FromOwnerID","ToOwnerID","FromCash","ToCash","FromApproval","ToApproval","Proposed","Accepted","Rejected","Cancelled","TradeStatusID","LeagueID","DraftAppliedTo"
1,26,4,0,0,false,false,"""2013-07-31T22:10:15.986Z""",null,null,"""2013-07-31T22:10:48.626Z""",4,1,0
2,26,20,0,0,false,false,"""2013-07-31T22:10:38.580Z""",null,null,"""2013-07-31T22:10:44.766Z""",4,1,0
3,26,27,0,0,false,false,"""2013-08-01T22:43:50.236Z""",null,null,"""2013-08-03T11:10:29.293Z""",4,1,0
4,26,28,0,0,false,false,"""2013-08-01T22:51:58.826Z""",null,null,"""2013-08-09T20:14:56.226Z""",4,1,0
5,26,27,0,0,false,false,"""2013-08-03T12:43:01.510Z""",null,null,"""2013-08-09T11:07:28.076Z""",4,1,0
6,26,28,0,0,false,false,"""2013-08-04T17:24:10.876Z""",null,null,"""2013-08-09T20:14:46.210Z""",4,1,0
7,20,23,0,4,false,false,"""2013-08-05T17:35:12.130Z""",null,null,"""2013-08-05T21:09:28.336Z""",4,1,0
8,26,28,10,0,false,false,"""2013-08-05T18:52:33.246Z""",null,null,"""2013-08-05T18:53:13.436Z""",4,1,0
9,20,23,0,4,false,false,"""2013-08-05T21:10:00.946Z""",null,null,"""2013-08-05T21:21:22.850Z""",4,1,0
10,20,23,4,0,false,false,"""2013-08-05T21:21:50.430Z""","""2013-08-06T12:16:58.503Z""",null,null,5,1,38
11,26,22,0,0,false,false,"""2013-08-06T12:31:06.726Z""",null,"""2013-08-06T15:39:54.100Z""",null,3,1,0
12,4,26,0,0,false,false,"""2013-08-09T22:39:05.710Z""",null,null,"""2013-08-10T17:43:03.456Z""",4,1,0
13,4,26,0,0,false,false,"""2013-08-10T17:43:46.083Z""",null,null,"""2013-08-10T19:27:16.250Z""",4,1,0
14,4,26,6,0,false,false,"""2013-08-10T19:28:40.830Z""","""2013-08-11T07:27:34.860Z""",null,null,5,1,38
15,29,20,4,0,false,false,"""2013-08-25T13:00:49.330Z""","""2013-08-25T13:01:54.110Z""",null,null,5,1,38
16,28,20,6,0,false,false,"""2013-08-25T13:07:09.056Z""","""2013-08-25T13:08:33.653Z""",null,null,5,1,38
17,28,30,5,0,false,false,"""2014-08-12T18:12:32.513Z""",null,null,null,1,1,0
19,4,20,0,10,false,false,"""2014-08-13T16:17:10.286Z""",null,null,"""2014-08-13T22:32:41.870Z""",4,1,0
20,4,19,0,0,false,false,"""2014-08-16T10:15:20.476Z""",null,null,"""2014-08-16T10:29:45.806Z""",4,1,0
21,22,4,0,0,false,false,"""2014-08-16T10:16:02.606Z""",null,null,"""2014-08-16T10:27:11.926Z""",4,1,0
22,4,19,0,0,false,false,"""2014-08-16T10:17:00.676Z""",null,null,"""2014-08-16T10:30:02.020Z""",4,1,0
23,22,4,0,0,false,false,"""2014-08-16T10:17:42.820Z""",null,null,"""2014-08-16T10:27:38.386Z""",4,1,0
24,4,19,0,0,false,false,"""2014-08-16T10:18:40.960Z""",null,null,null,4,1,0
25,22,4,0,0,false,false,"""2014-08-16T10:19:23.193Z""",null,null,"""2014-08-16T10:27:45.933Z""",4,1,0
26,4,19,0,0,false,false,"""2014-08-16T10:20:21.943Z""",null,null,"""2014-08-16T10:30:06.960Z""",4,1,0
27,4,19,0,0,false,false,"""2014-08-16T10:22:02.393Z""",null,null,null,4,1,0
28,22,4,0,0,false,false,"""2014-08-16T10:22:45.516Z""",null,null,"""2014-08-16T10:28:19.006Z""",4,1,0
29,4,19,0,0,false,false,"""2014-08-16T10:23:42.913Z""","""2014-08-16T10:31:10.026Z""",null,null,2,1,0
30,22,4,0,0,false,false,"""2014-08-16T10:24:24.930Z""",null,null,"""2014-08-16T10:28:25.816Z""",4,1,0
31,22,4,0,0,false,false,"""2014-08-16T10:24:25.566Z""",null,null,"""2014-08-16T10:28:41.703Z""",4,1,0
32,22,4,0,0,false,false,"""2014-08-16T10:26:05.133Z""",null,null,"""2014-08-16T10:28:35.376Z""",4,1,0
33,22,4,0,0,false,false,"""2014-08-16T10:27:47.040Z""","""2014-08-16T10:30:19.070Z""",null,null,2,1,0
34,28,22,5,0,false,false,"""2014-08-16T10:36:00.366Z""","""2014-08-16T10:37:12.670Z""",null,null,5,1,39
35,28,22,5,0,false,false,"""2014-08-16T10:37:40.456Z""",null,"""2014-08-16T11:33:28.643Z""",null,3,1,0
1017,4,20,0,6,false,false,"""2014-08-16T12:30:48.380Z""","""2014-08-16T12:32:29.536Z""",null,null,5,1,39
1018,4,20,0,6,false,false,"""2014-08-16T12:32:28.746Z""",null,null,null,4,1,0
1019,4,20,0,6,false,false,"""2014-08-16T12:34:08.946Z""",null,"""2015-08-20T18:34:54.460Z""",null,3,1,0
2017,24,20,0,0,false,false,"""2015-08-28T10:51:44.090Z""",null,null,null,4,1,0
2018,24,20,0,0,false,false,"""2015-08-28T10:53:24.563Z""",null,null,null,4,1,0
2019,24,20,0,0,false,false,"""2015-08-28T10:55:05.440Z""",null,null,null,4,1,0
2020,24,20,0,0,false,false,"""2015-08-28T10:56:45.816Z""",null,null,null,4,1,0
2021,24,20,0,0,false,false,"""2015-08-28T10:58:25.976Z""",null,null,null,4,1,0
2022,20,24,0,0,false,false,"""2015-08-28T13:56:31.823Z""",null,null,null,4,1,0
2023,20,24,0,0,false,false,"""2015-08-28T13:58:12.203Z""",null,null,null,4,1,0
2024,20,24,0,0,false,false,"""2015-08-28T13:59:53.220Z""","""2015-08-28T14:48:37.566Z""",null,null,2,1,0
2025,24,20,0,0,false,false,"""2015-08-28T14:00:43.863Z""",null,null,null,4,1,0
2026,24,20,0,0,false,false,"""2015-08-28T14:02:24.040Z""",null,null,null,4,1,0
2027,24,20,0,0,false,false,"""2015-08-28T14:04:05.886Z""",null,null,null,4,1,0
2028,21,30,9,0,false,false,"""2015-08-28T14:52:20.043Z""","""2015-08-28T14:52:49.310Z""",null,null,5,1,1039
2029,29,24,0,21,false,false,"""2015-08-28T14:54:11.030Z""","""2015-08-28T14:54:49.173Z""",null,null,5,1,1039
2030,19,27,17,0,false,false,"""2015-08-28T14:56:29.376Z""","""2015-08-28T14:58:48.196Z""",null,null,5,1,1039
